id,label,text,image_url,publish_date,image_id
0,real,A suicide bomber carrying a Syrian passport is being investigated by the French police who found a Syrian passport on a bomber who failed to enter the Stade de France and blew himself up However as a large number of migrants entering Europe have been found with forged Syrian passports it is not yet certain of his real nationality This bomber and another companion carried out a suicide bombing attack outside the Stade de France last night resulting in 6 deaths,,,
1,real,Christmas Gift List Dutch artist Eiko Ishizawa released a handcrafted sleeping bag in 2009 priced at 1500 pounds which has suddenly become popular online in recent weeks Its name is The Great Sleeping Bear and it is said that many girls have included it in their Christmas gift wish lists No no no it is not made of animal products,,,
2,real,Lulu - the last orca in British waters has died People found Lulus body washed ashore on the island of Tiree in Scotland Scientists analyzed that Lulu died due to entanglement in fishing gear such as nets British scientists believe this might mark the extinction of orcas in British waters In the past 12 months four whales have died due to entanglement in Scottish waters,,,
3,fake,How could there be only 50 casualties There are residential buildings right across People were injured within a radius of thirty kilometers Hundreds of firefighters have sacrificed their lives Whats wrong with the government Is it just going to continue being corrupt Other countries reports say thousands have died Does the government really think it can hide this from the public Its so disheartening,,,
4,real,Fill in the front page of the Eastern Hemisphere as promised Ayi Wang Junchao,,,
5,fake,Luo Bing Reply to Dreams It wont get that dark will it //Dreams Maybe its a conspiracy in which case they will also become victims and the law will give a sentence based on a rational perspective,,,
6,fake,Yantai Local News Criminals have a new trick please inform each other Recently there have been people going door-to-door selling soap If they ask you to smell it never do so It can cause you to faint and they will take valuable items Never open the door to strangers Everyone please share this,,,
7,real,Seeing many people worshiping Putin and even those who have never been to Russia yet admire Putin and are willing to have children for him Writing this down on a whim cant hold it in anymore 2 Russian Federation,,,
8,real,Excellent Work Recommendation Chen Tiejians Memoir Li Xin and The History of the Republic of China The green mountains still stand but the past is not like smoke O Li Xin and The History of the Republic of China,,,
9,real,First Snow in the Forbidden City Unexpectedly dense and swirling Today entering the palace one can choose a quiet corner to listen to the sound of falling jade Lets all Capture the First Snow with a Snap,,,
10,real,Syrian Wedding Photos A pair of newlyweds recently took wedding photos in Homs Syria which caused a stir online Both the bride and groom are locals from Homs and the groom is a soldier in the Syrian Army,,,
11,fake,Mr Lis forgotten bank card leads to 18200 yuan being taken police say the withdrawer is not guilty of a crime equivalent to finding money and not returning it Lawyer Yuan Yulai Xu Xin Yantai Daily Media Group,,,
12,fake,The Jilin Gongzhuling branch of Northeast Securities was set on fire by angry investors this morning,,,
13,real,According to reports on Wednesday Wikipedia founder Jimmy Wales said at the Leadership Energy Summit Asia 2015 that he would fly to the smoggy capital within two weeks to discuss unlocking Wikipedia It turns out that they may have discovered a previously overlooked bug as now they have locked all other languages including English not just the Chinese version that was initially blocked,,,
14,fake,Emergency Notice from the Education Committee Eating beef is prohibited Do not purchase beef until an lifting notice is received Cattle at the Hui Mountain Dairy Farm in Fishing Township have fallen ill and people who peeled the skin of the dead cattle have been infected with anthrax suffering from skin ulceration and persistent high fever There is a risk of life-threatening conditions and several workers have been infected and sent to Shenyang for emergency treatment The Health Bureau has issued a notice,,,
15,real,The entire leadership team of China Unicom attended the 2016 work conference Previously there were rumors that several Unicom executives had gone missing However the official Weibo account of China Unicom just updated indicating that the 2016 work conference is being held in Beijing today with the entire leadership team of China Unicom all heads of headquarters departments and subsidiaries party secretaries and general managers of 31 provinces cities in attendance,,,
16,real,Paris Climate Conference Protest Well its just the usual interaction between environmental protesters and the police as always,,,
17,real,Breaking News Vladivostok special police have surrounded the Chinese Grand Market Vladivostok Sports Market blocking all exits with real guns and ammunition Chinese compatriots outside the market who see this message please do not come to the market Extremely urgent please pass this on to Chinese in Vladivostok,,,
18,fake,Touching breasts is not a sin Please feel free to touch the breasts of MM Flirty Flirty The most awesome festival ever Breast Touching Festival In Chuxiong south of the colorful clouds the Breast Touching Festival is still popular today From the 14th to the 16th of the seventh lunar month every year the revelry of the Breast Touching Festival is unveiled O web page link,,,
19,fake,Insider 2 is coming Pictures Just because of that last Weibo post I received severe criticism from my friends As long as my friends are happy and laughing Id go without sleep for a night For your happiness haha Ive become a merciless person -------- Remember Peng Peng is always the creator of your happiness Thank you everyone Comedy King Peng Peng Yang Mi,,,
20,fake,Media reports that Meng Ge stated yesterday I believe China is a country under the rule of law If I lose the lawsuit I will immigrate overseas and never set foot on Chinese soil again Comment Shameless,,,
21,fake,The Sorrow of Chinese Media Professionals Many journalists from home and abroad went to interview the families of the victims of the Jilin explosion accident Ironically the families almost only accepted interviews from overseas and Hong Kong and Taiwan media The families said You media who eat from the governments table even if I tell you would you dare to write and publish it Or lets not waste everyones time Several domestic journalists wisely walked away The sorrow of Chinese media professionals Yan Yaobin,,,
22,fake,All-powerful circle please spread the word A friend encountered a child who might have been abducted while traveling in Sanya The child has fair skin about four years old speaks fluent Mandarin and cried for us to buy flowers Later the child was taken away by a middle-aged woman When the child saw us taking a photo together the woman slapped the child hard several times We cannot confirm if this is a missing child Please spread the word Your small action might save a family If you recognize the child in the photo below please contact 110,,,
23,real,Song Tao assumes the role of Minister of the International Department of the CPC Central Committee having served for a long time in Fujian According to the official website of the Central Foreign Liaison Department the Minister has changed from Wang Jiarui to Song Tao Wang Jiarui now 66 served as the Minister for 12 years Song Tao now 60 has held important leadership positions in the Ministry of Foreign Affairs and the Central Foreign Affairs Office and has also served for a long time in Fujian Province During his tenure at the Ministry of Foreign Affairs he has experience in India and the Philippines,,,
24,fake,Fujian Provincial Committee of the Communist Youth League,,,
25,real,Trump If Im banned from entry Ill withdraw my investment Donald Trump has threatened to withdraw his £700 million investment in a Scottish development project if the UK decides to ban him from entry due to his comments about Muslims Currently 570000 people have signed a petition calling for Trump to be banned from entering the UK and the British Parliament will discuss the proposal on January 18th,,,
26,real,FTChinese-PhotoGallery Brussels continues to maintain the highest alert level On the evening of the 23rd the Belgian government announced that it would continue to maintain the highest terror alert level in the Brussels area However schools will resume classes on Wednesday and the subway will gradually resume operations Brussels continues to maintain the highest alert status,,,
27,fake,The Publicity Department of Henan Provincial Party Committee invites Zhou Xiaoping to work and after the cadres of the Archives Bureau study Zhous works they are deeply inspired calling it a great thought of humanity Henan is a very strange place In the 1940s they were most enthusiastic about singing praises of Chiang and then Chiang starved them to death with 3 million In the 1960s they were most enthusiastic about singing praises of Mao and then Mao starved them to death with 293 million In the 21st century political speculator Zhou Xiaoping comes to power is favored by them and this time no hunger just overeating,,,
28,fake,aKingJian nb //= doggie_BG5HPZ human flesh is incredibly powerful //FanFan_88 Searched for it and indeed He himself is still researching liver-related topics //= a strange chaos-nad// PuPuLuo Retweeting Weibo,,,
29,fake,Water engulfs Wuhan revealing a face of China,,,
30,fake,A girl was slashed by the son of a government official when she resisted being groped in public Lu Shengmin the director of the Jingjiang City Public Security Bureau and his son Lu Jianbo a municipal government civil servant molested a girl named Liu touching her breasts and genitals When the girl resisted the two took out a machete from their car and slashed her 34 times shouting in public You slut is your vagina made of gold Will you die if touched Ill kill you Do you know who we are The girls uncle and brother sought justice but were detained by the police,,,
31,real,An electrician from Wuxi wins a big prize for photographing green trains for 8 years Photo Exhibition Director True and profound without routine Photo Editor Song Xiaogang Art should have a lot to do with society and the world If you have a broad view of the world the artist must first put aside art the same goes for curators and theorists you cant always take it seriously its useless to just break through in skills and other aspects O web link,,,
32,real,Welcome Banquet,,,
33,real,Attention to the Syrian situation The UN General Assemblys Third Committee has just passed a resolution with 115 votes in favor 15 against and 51 abstentions strongly condemning the continuous armed violence against its own people by the Syrian authorities since 2011 strongly condemning all acts trampling on and violating international human rights law against civilians and indicating that the International Criminal Court can play a role in accountability China Cuba North Korea Russia and other 15 countries cast opposing votes,,,
